contig_10806	CONCOCT.73
contig_10807	CONCOCT.8
contig_10808	CONCOCT.62
contig_10809	CONCOCT.37
contig_1081	CONCOCT.76
contig_10810	CONCOCT.8
contig_10813	CONCOCT.50
contig_10814	CONCOCT.82
contig_10815	CONCOCT.37
contig_10816	CONCOCT.7
contig_10817	CONCOCT.30
contig_10819	CONCOCT.41
contig_10820	CONCOCT.61
contig_10821	CONCOCT.8
contig_10822	CONCOCT.4
contig_10823	CONCOCT.50
contig_10824	CONCOCT.37
contig_10825	CONCOCT.18
contig_10826	CONCOCT.18
contig_10827	CONCOCT.41
contig_10828	CONCOCT.41
contig_10829	CONCOCT.52
contig_10830	CONCOCT.58
contig_10833	CONCOCT.8
contig_10834	CONCOCT.61
contig_10835	CONCOCT.14
contig_10836	CONCOCT.40
contig_10838	CONCOCT.58
contig_10839	CONCOCT.18
contig_1084	CONCOCT.65
contig_10841	CONCOCT.82
contig_10843	CONCOCT.82
contig_10844	CONCOCT.82
contig_10845	CONCOCT.3
contig_10846	CONCOCT.4
contig_10847	CONCOCT.58
contig_10848	CONCOCT.22
contig_10849	CONCOCT.64
contig_1085	CONCOCT.8
contig_10850	CONCOCT.60
contig_10851	CONCOCT.70
contig_10852	CONCOCT.70
contig_10853	CONCOCT.46
contig_10854	CONCOCT.71
contig_10855	CONCOCT.41
contig_10856	CONCOCT.70
contig_10857	CONCOCT.70
contig_10858	CONCOCT.9
contig_10859	CONCOCT.37
contig_1086	CONCOCT.64
contig_10860	CONCOCT.25
contig_10861	CONCOCT.18
contig_10862	CONCOCT.8
contig_10863	CONCOCT.37
contig_10865	CONCOCT.58
contig_10866	CONCOCT.30
contig_10867	CONCOCT.48
contig_10868	CONCOCT.76
contig_10869	CONCOCT.45
contig_10870	CONCOCT.62
contig_10871	CONCOCT.51
contig_10872	CONCOCT.22
contig_10873	CONCOCT.18
contig_10874	CONCOCT.58
contig_10875	CONCOCT.41
contig_10876	CONCOCT.58
contig_10877	CONCOCT.2
contig_10878	CONCOCT.10
contig_10879	CONCOCT.27
contig_1088	CONCOCT.23
contig_10880	CONCOCT.11
contig_10881	CONCOCT.50
contig_10882	CONCOCT.18
contig_10883	CONCOCT.14
